Family	Known Compounds
Serpulidae	11
Togniniaceae	11
Tortricidae	11
Tovariaceae	11
Tritoniidae	11
Vespidae	11
Anisophylleaceae	10
Anteagloniaceae	10
Araneidae	10
Asteropseidae	10
Cancridae	10
Cardiidae	10
Cephaloziellaceae	10
Cervidae	10
Crypteroniaceae	10
Ctenodiscidae	10
Cyttariaceae	10
Diplommatinidae	10
Geometridae	10
Giraffidae	10
Helicobasidiaceae	10
Mariametridae	10
Massariaceae	10
Methylococcaceae	10
Methylocystaceae	10
Metridiidae	10
Myriaporidae	10
Nidaliidae	10
Onchidorididae	10
Pleuroziaceae	10
Polymorphinidae	10
Pseudococcidae	10
Rhodobiaceae	10
Sabellidae	10
Scaphandridae	10
Shiraiaceae	10
Solasteridae	10
Staphylinidae	10
Sympoventuriaceae	10
Synallactidae	10
Tetraodontidae	10
Thermoactinomycetaceae	10
Thomandersiaceae	10
Trachycladidae	10
Virgulariidae	10
Wiesnerellaceae	10
Arthoniaceae	9
Aulacomniaceae	9
Basiliolidae	9
Blandfordiaceae	9
Candelariaceae	9
Capnodiaceae	9
Chaetopeltidaceae	9
Chlorodendraceae	9
Coreidae	9
Cydnidae	9
Cystofilobasidiaceae	9
Davidiellaceae	9
Ectobiidae	9
Enidae	9
Eriococcidae	9
Frankeniaceae	9
Funariaceae	9
Funiculinidae	9
Gomphidiaceae	9
Gunneraceae	9
Halimedaceae	9
Hydnangiaceae	9
Isodictyidae	9
Makinoaceae	9
Mangeliidae	9
Melanommataceae	9
Merulinidae	9
Muricidae	9
Myxillidae	9
Paracryphiaceae	9
Porotheleaceae	9
Prasinococcaceae	9
Quillajaceae	9
Schizophyllaceae	9
Sphecidae	9
Sphenocleaceae	9
Sphingobacteriaceae	9
Turbinidae	9
Bibionidae	8
Blepharostomataceae	8
Braconidae	8
Bulgariaceae	8
Chitinophagaceae	8
Chitonidae	8
Cryphonectriaceae	8
Durvillaeaceae	8
Erebidae	8
Erysiphaceae	8
Fontinalaceae	8
Himerometridae	8
Lichinaceae	8
Mactridae	8
Malacanthidae	8
Membraniporidae	8
Ophiocomidae	8
Ophiodermatidae	8
Pandalidae	8
Porcellionidae	8
Pycnococcaceae	8
Rhizopogonaceae	8
Saccharospirillaceae	8
Salticidae	8
Sarcolaenaceae	8
Scenedesmaceae	8
Schizoporaceae	8
Sclerodactylidae	8
Suessiaceae	8
Tectariaceae	8
Teratosphaeriaceae	8
Tetraphidaceae	8
Tsukamurellaceae	8
Umbelopsidaceae	8
Xyridaceae	8
Acanthochitonidae	7
Achatinidae	7
Aporpiaceae	7
Archaeobalanidae	7
Ascarididae	7
Australiascaceae	7
Bacteroidaceae	7
Balanopaceae	7
Bathycoccaceae	7
Cannaceae	7
Cassidae	7
Catenulisporaceae	7
Cephalotaceae	7
Clavulinaceae	7
Clethraceae	7
Collemataceae	7
Cryptomycetaceae	7
Cutleriaceae	7
Dalodesmidae	7
Deinococcaceae	7
Deltocyathidae	7
Dendrocerotaceae	7
Didymiaceae	7
Entodontaceae	7
Escalloniaceae	7
Fasciolidae	7
